Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$89K - $144K (Glassdoor est.),"Avant is dedicated to building premier digital banking solutions for the middle class through a combination of technology, analytics and superior customer service. Since 2012, Avant has connected over one million customers to $6.5 billion in loans and to 200,000 credit cards. A high growth financial technology company, Avant has been featured in The Wall Street Journal, The New York Times, TechCrunch, Fortune, Bloomberg, and has raised over $600 million of equity capital. Visit www.avant.com for more information.

Let’s get to business. Avant is looking for a new Data Scientist to join the team in Chicago.
We are revolutionizing access to credit by innovative mathematical models. As part of our data science
team, you will leverage our fast growing structured and unstructured dataset to improve default
prediction, marketing analytics and operations. Your models will have a direct impact on our customers
by helping us provide them with financing options at fair cost.
What you do at Avant:",3.3,"Avant
3.3","Chicago, IL",-1,501 to 1000 Employees,2012,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
Data Scientist I,$79K - $133K (Glassdoor est.),"Job Description:
Knowesis - Interesting Work with Interesting People
Knowesis, Inc. has been providing data-driven decisions and solutions to our federal clients since 2007. Our highly qualified, customer-focused professionals are committed to providing information and advice to enable client success through holistic, thorough, thoughtful, and aligned approaches. Our clients leverage these capabilities to support their key business functions.
Knowesis is looking for a Data Scientist I to support the United States Special Operations Command Preservation of the Force and Family (USSOCOM POTFF) program. The Data Scientist I will help in identifying and implementing innovative, valuable solutions across the Special Operations Forces (SOF) enterprise aimed at improving the short and long-term well-being of SOF warriors and their families.
This work will be performed at the client’s Hurlburt Field, FL, location.

Required Experience:",4.5,"Knowesis Inc.
4.5","Hurlburt Field, FL",-1,51 to 200 Employees,2007,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1
Medical Laboratory Scientist,-1,"Performs routine and stat laboratory test procedures working as a generalist in Chemistry, Hematology, Blood Bank, Immunology and Microbiology. Ensures the validity of test results by performing quality control, instrument calibration and routine maintenance on all instruments and manual test. Provides excellent customer service to patients, physicians and other hospital staff. Must we able to work alone as well as part of a team. Ability to multitask, prioritize and perform under pressure is essential.
RESPONSIBILITIES:
Collects and processes clinical specimens for routine and stat testing.
Performs reviews, accepts and reports laboratory tests as outlined in the laboratory procedure manual. Adheres to quality assurance and quality control procedures prior preforming all testing.
Maintains and operates laboratory equipment. Has the ability to detect and trouble shoot instrument malfunctions and or failures.",-1,Franklin County Medical Center,"Preston, ID",-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Applications Scientist - Flash Chromatography,-1,"Advion Interchim Scientific (AIS) with North American headquarters in Ithaca, NY, designs, develops, and manufactures mass spectrometers, chip-based ion sources, and liquid chromatography - based separation systems for the life sciences and related industries. We are the growing supplier of choice for our industrial and academic customers who are demanding accurate mass analysis, higher synthetic yields/throughput, natural product isolation and more productive research and scale-up. We are currently seeking to fill the following position in Ithaca:
APPLICATION SCIENTIST -Flash Chromatography:
The Application Scientist will provide a scientific foundation to Advion’s puriFlash separation and purification product line by developing a sound understanding of customer needs, developing applications and performing sample preparation activities in the key disciplines of:
· Organic synthetic chemistry separation/isolation",-1,"Advion, Inc.","Ithaca, NY",-1,-1,-1,-1,-1,-1,-1,-1
"Data Analyst- Greendale, WI",-1,"The Data Analyst is responsible for serving as end to end administrator and resource for case management software (CMS). This role is also responsible for the configuration, data and workflow quality, and user training delivery.
RESPONSIBILITY LEVEL:
Serves as end to end administrator and resource for case management software (CMS) and processes for our Missions Programs. Responsible for the configuration, data and workflow quality, and user training delivery for case management software. Implements organization’s goals, may provide input into strategic goals for Mission outcomes reporting, program compliance and audits. Has familiarity with the Mission programs budget, may provide input into spending decisions, particularly as pertains to vendors, systems, and projects. Typically works on projects and initiatives that span 12 months – 2 years.
PRINCIPAL DUTIES:",-1,Goodwill Industries of Southeastern Wisconsin & Metropolitan Chicago,"Greendale, WI",-1,-1,-1,-1,-1,-1,-1,-1
Senior Staff Scientist,-1,"Senior Staff Scientist, NGS DNA Amplification
Job Description
Join a rapidly growing startup that is developing exciting new genomics technologies. The ideal candidate combines a strong scientific and managerial background in the NGS DNA amplification field, responsible for delivering highly robust and productizable workflows. Join a remarkable and outstanding team of scientists and engineers; be part of the next transformation of the genomics field.
Responsibilities
- Lead NGS DNA Amplification projects
- Defines timelines and milestones",4.3,"Stealth Mode Startup
4.3","Newark, CA",-1,1 to 50 Employees,-1,Unknown,-1,-1,Less than $1 million (USD),-1
Epitaxy Scientist,$36K - $88K (Glassdoor est.),"Responsibilities
Develop, optimize and characterize III-nitride LED epi structures
Improve epi material quality and LED performance
Analyze growth and characterization data and correlate to device performance
Lead epi development projects to improve epi and chip yield
Summarize R&D results and prepare reports
Transfer new developments to production
Make recommendations for new/improved characterization techniques to solve material and device issues",3.1,"Sensor Electronic Technology, Inc
3.1","Columbia, SC",-1,1 to 50 Employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 million (USD),-1
Sr. Genomic Data Scientist,$85K - $137K (Glassdoor est.),"Benson Hill empowers innovators to develop more healthy, tasty and sustainable food by unlocking the natural genetic diversity of plants. Benson Hill's CropOS platform combines machine learning and big data with breeding techniques and plant biology to drastically accelerate and simplify the product development process. This platform allows for cost-effective and more efficient ways for companies to analyze and make improvements in plant genetics. Benson Hill brings a unique and holistic approach to our product and platform development, as we span a broader workflow involving trait and seed development, genome editing, and breeding all the way to creating better ingredients and varieties that tap a strong consumer demand for more flavorful and nutritious fruits and vegetables. More information can be found online at www.bensonhill.com. Follow us on Twitter at @BensonHillInc.

Our Purpose and Core Values

Our Core Values are a set of common principles we share that are fundamental to our company's identity.


The Data Science & Platform Engineering Department leads the development of Benson Hill's crop design platform, CropOS which combines machine learning and big data with genome editing and plant biology to accelerate and simplify the product development process. The team partners with the Research & Development teams on the development of a portfolio of offerings (commercial, product, or platform related) that meet the needs of Benson Hill's business units.



We are actively seeking a Senior Data Scientist (In Genomics) to join our rapidly growing CropOS Department. The successful candidate will be responsible for developing and implementing models enabling predictive genomics for breeding and gene editing product design. This person will work closely with Benson Hill scientists, data engineers, and project leaders to maximize the impact of Benson Hill's product development programs.",3.0,"Benson Hill
3.0","Saint Louis, MO",-1,201 to 500 Employees,2012,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1
Data Scientist,$81K - $137K (Glassdoor est.),"Apply

Description

Walton Isaacson is looking for a Marketing Data Scientist who will support the Media and Strategy Teams with insights gained from analyzing advertising campaign data, business trends, and industry data. The ideal candidate is adept at using large data sets to find opportunities for marketing strategy, tactical, and lead generation optimization and using models to test the effectiveness of different courses of action. These insights will support the development of custom solutions and highly targeted sales and marketing campaigns to optimize business results and drive revenue growth. They must have strong experience using a variety of data mining/data analysis methods/tools, building and implementing models, using/creating algorithms, and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. This role is part of the growing demand from our clients and will be critical in building out analytics capabilities for the agency.

The right candidate will have a passion for discovering solutions hidden in large data sets and working with internal stakeholders and our clients to improve business outcomes. In addition, the Marketing Data Scientist will be a key partner to leadership by advising, training, and assisting management in understanding and leveraging customer data. The Marketing Data Scientist must also be comfortable working in a fast-paced, dynamic, and complex environment while juggling multiple priorities.

Primary Responsibilities and Duties:
Dashboard Skills and Knowledge:
Business Intelligence Skills and Knowledge:",2.1,"Walton Isaacson
2.1","Culver City, CA",-1,51 to 200 Employees,2006,Company - Private,Advertising & Marketing,Business Services,$50 to $100 million (USD),-1
Data Analyst,$40K - $73K (Glassdoor est.),"This position will be responsible for the development and maintenance of the company’s data analytic platform enabling business units to make decisions and achieve better outcomes for the company. A key partner promoting collaboration with cross-functional teams to design innovating reporting capabilities that provide key insights into cloud adoption, quality metrics and business KPI’s. The successful candidate must have knowledge of Business Intelligence, Data Warehousing, ETL database functionality and data modelling; effectively handle multiple work assignments, while consistently deliver high quality work; and will apply their experience in analytics, data visualization and modeling to find solutions for a variety of business and technical problems; querying and analyzing small and large data sets to discover patterns and deliver meaningful insights; and demonstrated ability to self-organize and prioritize multiple time-sensitive tasks on a daily basis.
Essential Functions and Responsibilities:
Azure Analysis Services - Tabular Modeling with development experience in Perspectives, Partitions and Design Aggregations",3.6,"Bell Partners
3.6","Raleigh, NC",-1,1001 to 5000 Employees,1976,Company - Private,Real Estate,Real Estate,$50 to $100 million (USD),-1
Data Scientist,$66K - $116K (Glassdoor est.),"Data Scientists produce innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets. They apply knowledge of statistics, data modeling, and advanced mathematics to recognize patterns, identify opportunities, pose business questions, and make valuable discoveries. Data Scientists use a flexible, analytical approach to design, develop, and evaluate predictive models, and generate and test hypotheses.
Communication & Project Ownership
Support large projects, and manage smaller projects in their entirety
Partner with senior team members to assess customer needs and define business questions. Emerging ability to influence customers to take action on analytical insights.
Communicate results and insights, both verbally and written (including visual graphics), in a clear and concise manner to a non-technical audience.",3.6,"Florida Blue
3.6","Jacksonville, FL",-1,10000+ Employees,1944,Nonprofit Organization,Insurance Carriers,Insurance,$10+ billion (USD),-1
Data Scientist,-1,"Pay depending on experience. Candidates must be a US citizen and have current Top Secret active clearance.
Job Duties:
∙ Perform hands-on analysis and modeling involving the creation of intervention hypotheses and experiments, assessment of data needs and available sources, determination of optimal analytical approaches, performance of exploratory data analysis, and feature generation (e.g., identification, derivation, aggregation).
∙ Demonstrate proficiency in extracting, cleaning, and transforming data associated within an identified problem space to build predictive models as well as develop appropriate supporting documentation. ∙ Execute projects including those intended to identify patterns and/or anomalies in large datasets; perform automated text/data classification and categorization as well as entity recognition, resolution and extraction; and named entity matching.",-1,The Brite Group,"Springfield, VA",-1,1 to 50 Employees,-1,Contract,-1,-1,Less than $1 million (USD),-1
Full-Time Human Resources Data Analyst,$37K - $66K (Glassdoor est.),"Apply

Description

The HR Data Analyst is responsible for coordinating Avadian’s personality inventory tool – Culture Index (CI). This will include gathering and processing qualitative and quantitative data from the CI tool for assistance in recruitment, retention, job patterns, assessments, and position analysis.

Functions and Responsibilities:
Promote a positive relationship between the employees and the Credit Union.
Carry out a C-Job positional analysis for new and current positions, send C-Job surveys to employees, discuss results with hiring managers, open/close C-Jobs depending on hire status, and discuss any complex issues with the executive CI advisor.",4.2,"Avadian Credit Union
4.2","Hoover, AL",-1,201 to 500 Employees,1934,Nonprofit Organization,Banks & Credit Unions,Finance,$25 to $50 million (USD),-1
Data Analyst - Product Development (eCommerce),$37K - $66K (Glassdoor est.),"JOB TITLE: Data Analyst - Product Development (eCommerce)
REPORTS TO: Manager, Analytics
JOB SUMMARY: The Data Analyst will play a critical role in helping BNED analyze the business through product analytics and evolve as a “digital-first” organization. The Data Analyst will work closely with business stakeholders to identify and measure key performance indicators. This candidate must be comfortable working with large sets of data and using critical thinking/analytical skills to unlock key actionable insights.
ESSENTIAL FUNCTIONS:
Analyze business & customer behavior data to identify opportunities for product and website enhancements",3.5,"Barnes & Noble Education
3.5","Boston, MA",-1,10000+ Employees,1965,Subsidiary or Business Segment,Media & Entertainment Retail Stores,Retail,$1 to $2 billion (USD),-1
Clinical Lab Scientist (Part Time),-1,"Summary:
Under the general supervision of the Laboratory Manager, Assistant Manager and the assigned Department Supervisor, performs and interprets routine and complex laboratory examinations in a high complexity (CLIA) environment. Assesses and verifies the validity of these results before releasing them to the providers. Assist in the development and writing new procedures and techniques. Perform related duties incidental to the work described herein. Actively participates in quality improvement for department efficiency.
All employees will exhibit the following behavioral traits:
Integrity and Trust
Individual is widely trusted and can present information and discuss situations in an appropriate and helpful manner, keeps confidences, admits mistakes, doesn’t misrepresent him/herself for personal gain. Is respectful in action and communication with clients, patients and staff.",-1,Alluvion Health - Adlera,"Great Falls, MT",-1,-1,-1,-1,-1,-1,-1,-1
Data Science (Privacy) Manager,$101K - $163K (Glassdoor est.),"Neustar is an information services and technology company and a leader in identity resolution providing the data and technology that enables trusted connections between companies and people at the moments that matter most. More information is available at https://www.home.neustar.

Job Requisition:

R-3330 Data Science (Privacy) Manager (Open)

Primary Location:

SAN DIEGO

Job Description:



As a company built on the foundation of Privacy by Design, for more than 20 years Neustar’s unique capabilities have made us the leader in the field of responsible identity resolution. Neustar enables trusted connections between companies and people at the moments that matter most, with world-class and industry leading solutions in Marketing, Risk, Communications, Security and Registry services.



Data Science Mgr (Privacy)



As a member of the Data Science R&D team, you will develop next-generation privacy technologies that impact how we collect, use, and share user data. You’ll be collaborating across the company and touch on all stages of user data lifecycle; from client-side data collection, to privacy-preserving data releases to our advertisers/publishers, and machine-learning/inference using secure multi-party computing techniques.

Application areas include Identity Resolution, Marketing Analytics Security and Fraud and other Business Solutions supported by our or our client’s data.



At Neustar, we are committed to the growth and development of our employees whose individual skills, curiosity, and passion for their work, contribute to the overall success of our business. Our core values (Accountability, Collaboration, Transparency, Resilience, and Respect) are the driving force of our culture across our locations around the globe. We offer our employees a comprehensive benefits package including perks such as tuition reimbursement, awesome company discounts, back-up day care, community service events, pet and baby swag and much more! We are all learning and creating together and having some major fun along the way. JOIN US! We can’t wait to meet you!




Diversity, inclusion and teamwork are second nature to Neustar; and these values permeate our entire business structure. Neustar is committed to creating an environment where a wide spectrum of opinions and beliefs are actively sought, listened to and respected. Further, our talented workforce draws from the many geographic areas and markets in which Neustar operates worldwide, which represents a distinct competitive advantage. The rich and varied personal and professional backgrounds of our employees make Neustar a dynamic and rewarding company at which to build a career. We invite you to join us.


Neustar, Inc. considers all applicants for employment without regard to race, color, religion, sex, national origin, age, disability, sexual orientation, or status as a Vietnam-era or special disabled veteran in accordance with federal law and other state and local requirements. Neustar, Inc., complies with applicable state and local laws prohibiting discrimination in employment and provides reasonable accommodation to qualified individuals with disabilities in accordance with the American with Disabilities Act (ADA) and applicable state and local laws.",3.9,"Neustar
3.9","San Diego, CA",-1,1001 to 5000 Employees,1996,Company - Private,Internet,Information Technology,$500 million to $1 billion (USD),-1
Data Analyst,$47K - $84K (Glassdoor est.),"At Emerson, we are innovators and problem-solvers, focused on a common purpose: leaving our world in a better place than we found it. Each and every day, our foundational values—integrity, safety and quality, supporting our people, customer focus, continuous improvement, collaboration and innovation—inform every decision we make and empower our employees to keep reaching higher. As a global technology and engineering leader, we provide groundbreaking solutions for customers in industrial, commercial, and residential markets. Our Emerson Automation Solutions business helps process, hybrid, and discrete manufacturers maximize production and protect personnel and the environment while optimizing their energy and operating costs. Our Emerson Commercial & Residential Solutions business helps ensure human comfort and health, protect food quality and safety, advance energy efficiency and create sustainable infrastructure.Emerson, a Fortune 500 company with $15.3 billion in sales and 200 manufacturing locations worldwide, is committed to helping employees grow and thrive throughout their careers. Whether you’re an established professional looking for a career change, an undergraduate student exploring options or a recent MBA graduate, you’ll find a variety of opportunities at Emerson. Join our team and start your journey today.",3.7,"Emerson
3.7","Dayton, OH",-1,10000+ Employees,1890,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),-1
HCM Data Analyst,$55K - $94K (Glassdoor est.),"Any qualified individual with a disability who is having difficulty in completing an application because of incompatible technology or other disability-related application issues may contact us at the following phone number for assistance: 251-445-1932.

Austal shall abide by the requirements of 41 CFR §§ 60-1.4(a), 60-300.5(a) and 60-741.5(a). These regulations prohibit discrimination against qualified individuals based on their status as protected veterans or individuals with disabilities, and prohibit discrimination against all individuals based on their race, color, religion, sex, sexual orientation, gender identity, or national origin. Moreover, these regulations require that covered prime contractors and subcontractors take affirmative action to employ and advance in employment individuals without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status or disability. Austal’s commitment to equal employment opportunity applies at all levels of employment, in all job titles, including the executive level, and to all employment actions, including but not limited to decisions concerning recruitment, hiring, training, and promotion.",3.1,"Austal USA
3.1","Mobile, AL",-1,1001 to 5000 Employees,1988,Company - Public,Industrial Manufacturing,Manufacturing,$1 to $2 billion (USD),-1
"Scientist, Clinical Data Manager",$30K - $55K (Glassdoor est.),"Job Number: 29829

Reynolds American Incorporated is positively transforming the tobacco industry. We’re a family of companies that strives for success in everything we do. The future inspires us because our people are igniting the breakthroughs that are redefining the ways adult tobacco consumers enjoy tobacco in the 21st century.

When other companies talk about growth, they only talk about size. At Reynolds American, we focus on the growth of our people. We take pride in each other’s growth and well-being throughout our careers. We invest in your career and total well-being because we know our companies succeed when our people thrive.
ABOUT OUR ORGANIZATION:
Reynolds American Inc. is an indirect, wholly owned subsidiary of British American Tobacco p.l.c., and the U.S. parent company of R. J. Reynolds Tobacco Company; Santa Fe Natural Tobacco Company, Inc.; American Snuff Company, LLC; Modoral Brands, Inc.; R. J. Reynolds Vapor Company; Lorillard Licensing Company, LLC; Reynolds Brands, Inc.; and Vuse Stores LLC.",4.3,"British American Tobacco
4.3","Winston-Salem, NC",-1,10000+ Employees,1902,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
"Senior Scientist, DMPK",$113K - $207K (Glassdoor est.),"Senior Scientist, DMPK
Location


Agios Pharmaceuticals HQ

Job Code

914

# of openings

1

Apply Now",4.2,"Agios Pharmaceuticals
4.2","Cambridge, MA",-1,501 to 1000 Employees,2008,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),-1
Business Intelligence Analyst,$40K - $81K (Glassdoor est.),"POSITION OVERVIEW:

Our company has a need for Business Intelligence Analyst with experience in data analytics and reporting. We are interested in furthering our analysis and reporting practices, so you will be responsible for creating and managing BI and analytics solutions that turn data into knowledge. You’ll be responsible for processing several different types of data, including those related to our company, website and online presence.

ESSENTIAL DUTIES and RESPONSIBILITIES, includes the following responsibilities, but not limited to:
Work with our IT department to develop an enterprise reporting environment including advising software and hardware decisions.
Provide quality assurance of reporting data.
Manage reporting users and user roles.",4.6,"CMG Financial
4.6","Baltimore, MD",-1,1001 to 5000 Employees,1993,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
Data Analyst,$65K - $79K (Employer est.),"Data Analyst
Corporate Headquarters
12575 Uline Dr. Pleasant Prairie, WI 53158

We're passionate about our products because our customers rely on them to run their businesses.

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities
Write SQL queries to retrieve sales, customer and product data.






Uline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 37,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.

Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.

Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.

EEO/AA Employer/Vet/Disabled
Uline is a drug-free workplace.

#LI-LP1
#CORP",3.7,"Uline
3.7","Pleasant Prairie, WI",-1,5001 to 10000 Employees,1980,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,-1
Principal Data Scientist,$71K - $122K (Glassdoor est.),"Job Description:
At Fidelity’s Artificial Intelligence Center of Excellence (COE), you won’t be just tinkering around the edges, you’ll be building critical solutions that will benefit our clients for years to come. We work closely with business stakeholders, collect requirements and deliver high value AI/ML solutions that drive customer and business value. Those of us who love to work with data see this as the pinnacle of opportunities that you cannot find anywhere else in the industry.
The AI COE is seeking a Principal Data Scientist with experience in Virtual Assistants or chatbots, Natural Language Processing/text analytics, machine learning, various deep learning related technologies, predictive and prescriptive analytics.
The Expertise You Have",4.1,"Fidelity Investments
4.1","Boston, MA",-1,10000+ Employees,1946,Company - Private,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1
Scientist,$41K - $91K (Glassdoor est.),"Company Description

EAG Laboratories is a global leader in analytical chemistry, advanced microscopy, surface analysis and analytical testing services of various types of materials from synthetic biomaterials to nanotechnology, deliver new “super materials” with the potential to transform our world. Our laboratories are at the forefront of this revolution, providing the scientific expertise and analytical techniques to support companies at every phase of the product lifecycle, from R&D to manufacturing.

Our clients include leading edge tech companies in a diverse range of industries and business sectors who design, manufacture or incorporate products for tomorrow’s technology driven world. EAG’s scientists and engineers engage in peer-to-peer interaction to discuss and comprehensively understand client issues, challenges, goals and urgency, to define the technical problems, develop and execute analyses, and report back results. We have a growth mindset culture where individuals are encouraged to drive their own success and make their own decisions while fulfilling client needs.



EAG Laboratories has a great opportunity for a highly motivated chemist who enjoys solving problems using analytical chemistry. In this role, the individual will be responsible for:
All accepted applicants must be U.S. Persons as defined by ITAR: U.S. Person is a U.S. Citizen, U.S. Permanent Resident (i.e., ""Green Card Holder""), Political Asylee, or Refugee due to use of information in this role is subject to the International Traffic in Arms Regulations (ITAR).



All your information will be kept confidential according to EEO guidelines.",3.6,"EAG Laboratories
3.6","Saint Louis, MO",-1,501 to 1000 Employees,1978,Subsidiary or Business Segment,Research & Development,Business Services,$100 to $500 million (USD),-1
Data Scientist Senior,$96K - $153K (Glassdoor est.),"This position will report under the Corporate Responsibility/Compliance department.
Bachelor's degree in data analytics or business-related field with 10+ years of experience working with data management systems strongly preferred.
Certification in Data Analytics (ACDA, etc.) and other healthcare or internal audit certifications strongly preferred.
Strong knowledge of and experience with reporting packages (Business Objects etc.), databases (SQL, etc.), and analysis tools (SAS, Proactive Detection, etc.) strongly preferred. Will be performing data mining and data analysis as it relates to the Compliance program.
10+ years in healthcare data analytics, healthcare internal audit or healthcare compliance strongly preferred. Candidates ideally have a strong understanding of health care operations, including reimbursement, as it pertains to local, regional and federal health care.",3.6,"SSM Health
3.6","Saint Louis, MO",-1,10000+ Employees,1874,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1
Senior Engineer/Data Scientist - Industry 4.0,$89K - $141K (Glassdoor est.),"Friday, October 30, 2020


Watlow Profile: The world’s leading companies start with Watlow for their thermal solutions. Watlow®, a privately-owned company, is the industry leader in the design, manufacture and integration of complete thermal systems including electric heaters, temperature sensors, temperature controllers, power controllers and supporting software. At Watlow, we are constantly driven to do more to help our customers. We take on big technical challenges. We are committed to projects that help our fellow human beings and we strive to learn more. From single components to high performance systems, we bring our thermal expertise to numerous applications, including semiconductor processing, energy processes, diesel, foodservice equipment, life sciences and others.

Overview of Role

The Sr. Engineer/Data Scientist will be responsible for applying expertise in data science and analytics to improve the customer’s thermal system performance, focused on integration into Industry 4.0 technologies. The Sr. Engineer/Data Scientist will actively collaborate with customers and Watlow’s internal subject matter experts while expanding Watlow’s technical expertise in successful deployment of advanced alarming algorithms. The role will be located in St. Louis, Missouri at Watlow’s Global headquarters and Advanced Technology Center",3.4,"Watlow Electric Manufacturing
3.4","Saint Louis, MO",-1,1001 to 5000 Employees,1922,Company - Private,Metal & Mineral Manufacturing,Manufacturing,$100 to $500 million (USD),-1
Principal Scientist - Assay Development,-1,"Principle Scientist - Assay Development
Company Description
Personalized immunotherapies are the future of the fight against cancer, and IsoPlexis (www.isoplexis.com) is Making the Difference in enabling the lofty goal of employing immunotherapies to combat our toughest diseases. Our integrated systems, named #1 Innovation by Scientist Magazine & World-Leading Design by Red Dot, are changing cancer research by connecting biological readouts to what is actually happening in patients. Our game changing hardware technologies, originally from Cal Tech and Yale, combined with our next generation software and data visualizations, are powered by our amazing R&D team and used throughout the world. We work with a growing list of leading researchers who are publishing findings that connect our readouts to what is truly happening in patients, and that excites & drives all of us to do more! If you like working at the intersection of biological sciences and healthcare, and you enjoy intellectually challenging yet fulfilling projects, give us a call. Our fast growing, 200+ person team has a sense of integrity, energy, and urgency to ‘make things happen’ in our collective careers and in the broader world, and we look forward to talking.",3.7,"IsoPlexis
3.7","Branford, CT",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Data Scientist II,$74K - $121K (Glassdoor est.),"Blucora has a bold aspiration: we are committed to giving all people the tools needed to lead healthy financial lives - tools often reserved for the wealthy.

We now turn to the next leg, developing the technological tools that make our vision of financial health for all a reality. Atypical for the financial services industry, we take a contemporary approach to strategy and product development that is founded in user insights, rapid testing and a singular focus on driving end-user value.

Since charting new territory on a daily basis is part of everyone's job at Blucora, we've attracted team members who thrive on the challenge, encourage each other, and are passionately committed to the goal. If you agree that problem- solving is a team sport, and feel energized by a good debate, deep dive research, or a fun night out with colleagues, we might be the right firm for you!
Position Summary

The Data Scientist II is responsible for providing data, analysis, statistical modeling, and machine learning capabilities to inform key business initiatives. This role will deliver models to optimize marketing spend, create personalized engagement, and drive customer retention across both our tax preparation and wealth management businesses.



The major responsibilities of the position are listed below. To perform the job successfully, the individual must be able to execute each essential duty satisfactorily. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.




We offer a competitive salary, outstanding benefits package that includes medical, dental, vision, life insurance, paid vacation and sick days, paid holidays, tuition reimbursement, and 401(k) with company match. Qualified applicants will receive consideration for employment without regard to their race, color, religion, national origin, sex, or disability.

#Blucora

At Blucora, we believe our work benefits from the diverse perspectives of our employees. As such, Blucora welcomes and celebrates diversity and inclusion and is committed to equal opportunity employment. At Blucora, you can expect a supportive, open and inclusive atmosphere and a team that values your contributions.

Blucora, Inc. and its subsidiaries, Avantax Wealth Management, HK Financial Services, and TaxAct are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants without regard to race, color, religion, sex, national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, veteran status, and any other status protected under federal or state law. Blucora, considers information gathered in the hiring process, including information on this application, confidential, and only shares it on a need-to know basis or as required by law. If you need assistance or an accommodation due to a disability, you may contact us at HR@Blucora.com or by calling 972-870-6000 to speak with a member of the HR Talent Acquisition team.",3.5,"Blucora
3.5","Dallas, TX",-1,501 to 1000 Employees,1996,Company - Public,Financial Transaction Processing,Finance,$500 million to $1 billion (USD),-1
Medical Lab Scientist,-1,"Job Description
Performs accurate and reliable analysis requiring a complex network of steps and variables. Recognizes technical, instrumental or physiological problems, identifies the cause and evaluates alternative solutions where no pre-set criteria are available. Confirms and verifies laboratory results utilizing in-depth knowledge of techniques, principles and instruments. Correlates and interprets data based on knowledge of physiological conditions affecting test results. Establishes and monitors quality assurance programs. Participates in establishing and monitoring performance improvement programs
Job Requirements
Applicable Experience:
Less than 1 year
Cert Laboratory Assistant (ASCP) - American Society for Clinical Pathology
Bachelor's Degree (Required)
Full time
Night (United States of America)",4.0,"Saint Lukes
4.0","Overland Park, KS",-1,51 to 200 Employees,1926,Company - Private,Preschool & Child Care,Education,$25 to $50 million (USD),-1
Business Intelligence Analyst,$39K - $79K (Glassdoor est.),"Quench USA, Inc. is a provider of filtered water systems, including bottleless water coolers, ice machines, sparkling water dispensers, and coffee brewers to approximately 40,000 institutional and commercial customers, including more than half of the Fortune 500. Headquartered in King of Prussia, PA, Quench has sales and service operations across the U.S. Quench is a subsidiary of Culligan.
Quench seeks a growth-oriented individual as its new Business Intelligence Analyst. The Business Intelligence (BI) Analyst will work closely with Quench’s internal customers to turn data into critical information and knowledge that can be used to make sound business decisions. He or she will provide data that is accurate, congruent and reliable and is easily accessible. The BI Analyst will educate and train Quench’s internal customers to use the data as an analytical tool, displaying the information in new form and content for the purpose of analysis and exploring options. Starting from reporting out on existing data, the BI Analyst will quickly be expected to turn current reports into repeatable dashboards which meet up-to-date internal customer needs and can be relied on by Quench’s executive leadership team.",3.0,"Quench USA
3.0","King of Prussia, PA",-1,501 to 1000 Employees,-1,Subsidiary or Business Segment,Commercial Equipment Rental,Business Services,$50 to $100 million (USD),-1
